date,close,open,high,low,volume
2020-11-16T00:00:00-05:00,36.91,35.26,37.34,35.26,3321735.0
2020-11-17T00:00:00-05:00,36.57,36.16,37.06,35.98,1825300.0
2020-11-18T00:00:00-05:00,35.63,36.79,37.02,35.62,1611785.0
2020-11-19T00:00:00-05:00,35.82,35.56,36.18,35.36,1186700.0
2020-11-20T00:00:00-05:00,35.25,35.61,35.99,35.18,1948000.0
2020-11-23T00:00:00-05:00,36.26,35.87,36.47,35.52,1545466.0
2020-11-24T00:00:00-05:00,38.63,36.73,38.64,36.61,2376900.0
2020-11-25T00:00:00-05:00,37.88,38.38,38.4,37.24,1654400.0
2020-11-27T00:00:00-05:00,37.65,37.81,38.04,37.26,579749.0
2020-11-30T00:00:00-05:00,36.21,37.58,37.58,36.15,3730093.0
2020-12-01T00:00:00-05:00,37.34,37.22,37.76,36.93,1688409.0
2020-12-02T00:00:00-05:00,37.16,37.27,37.55,36.93,1348830.0
2020-12-03T00:00:00-05:00,37.61,37.17,37.74,36.74,1478904.0
2020-12-04T00:00:00-05:00,38.84,37.95,39.09,37.6,1968619.0
2020-12-07T00:00:00-05:00,38.42,38.45,38.84,38.12,1318900.0
2020-12-08T00:00:00-05:00,38.4,38.01,39.09,38.01,1198991.0
2020-12-09T00:00:00-05:00,38.78,39.66,39.69,38.39,1343671.0
2020-12-10T00:00:00-05:00,39.61,38.45,40.22,38.32,4076721.0
2020-12-11T00:00:00-05:00,39.13,40.17,40.17,38.47,1975910.0
2020-12-14T00:00:00-05:00,37.94,40.0,40.0,37.91,1509324.0
2020-12-15T00:00:00-05:00,38.62,38.35,38.79,37.62,1324764.0
2020-12-16T00:00:00-05:00,38.32,38.98,38.99,37.76,1169891.0
2020-12-17T00:00:00-05:00,37.59,38.55,38.63,37.22,2800800.0
2020-12-18T00:00:00-05:00,36.12,37.6,37.78,36.01,4437142.0
2020-12-21T00:00:00-05:00,36.95,35.54,37.01,35.5,1613540.0
2020-12-22T00:00:00-05:00,36.34,37.01,37.17,35.96,1480937.0
2020-12-23T00:00:00-05:00,36.37,36.48,36.91,36.2,1218224.0
2020-12-24T00:00:00-05:00,36.38,36.64,36.8,35.9,534414.0
2020-12-28T00:00:00-05:00,35.98,36.57,36.83,35.93,972004.0
2020-12-29T00:00:00-05:00,36.37,36.12,36.95,36.01,1524504.0
2020-12-30T00:00:00-05:00,36.59,36.22,36.96,36.22,914218.0
2020-12-31T00:00:00-05:00,36.87,36.58,37.15,36.15,1002300.0
2021-01-04T00:00:00-05:00,36.62,37.66,38.11,36.49,1372543.0
2021-01-05T00:00:00-05:00,37.95,36.72,38.45,36.67,1202016.0
2021-01-06T00:00:00-05:00,40.63,38.99,41.45,38.86,3851800.0
2021-01-07T00:00:00-05:00,39.85,41.3,41.6,39.75,2211648.0
2021-01-08T00:00:00-05:00,39.49,40.14,40.19,38.73,2200903.0
2021-01-11T00:00:00-05:00,40.01,38.97,40.46,38.58,1449779.0
2021-01-12T00:00:00-05:00,41.78,40.24,42.1,39.72,2090448.0
2021-01-13T00:00:00-05:00,40.73,41.7,41.7,40.47,1869600.0
